threshold,direction,day,mean_z,ci_low,ci_high,n_events
2.5,discount,18,0.2034992794978382,-1.8517714503970055,1.8625438114052335,33
2.5,discount,19,0.03801375815853015,-1.802508805539486,1.9628988809320678,33
2.5,discount,20,-0.17573838866517544,-2.076012778740095,1.8341144430723861,33
2.5,premium,-5,0.7531546615328288,-0.5274773217722817,2.064072041976752,25
2.5,premium,-4,0.6245527741624017,-1.0232358710250804,1.910040148302733,25
2.5,premium,-3,0.9737587518360441,-0.35221644844583927,2.2868008387300596,25
2.5,premium,-2,1.175744661252065,0.3044867980999959,2.1360209522250764,25
2.5,premium,-1,1.8716473500093675,1.041517399200197,2.420754292638953,25
2.5,premium,0,2.770511233714467,2.5236279543127784,3.3640757562727095,25
2.5,premium,1,2.316380403835359,0.9807795700436757,3.412599299499131,25
2.5,premium,2,1.973580724826943,0.5007535780738611,2.7828935282655065,25
2.5,premium,3,1.57918545689275,0.08643418765350219,2.869300389279023,25
2.5,premium,4,1.1320741568842225,-1.0917237867933576,2.448513570387027,25
2.5,premium,5,1.1531645638534258,-0.1581915799810116,2.468272873751886,25
2.5,premium,6,0.8310605108371988,-0.11084602768875068,2.3178040217371354,25
2.5,premium,7,0.7264583743063721,-0.5181777372310287,2.1833286636272566,25
2.5,premium,8,0.7279994656480313,-0.7885041310167175,1.9918616495359212,25
2.5,premium,9,0.6381023986144868,-0.9247299792235594,1.86020831977047,25
2.5,premium,10,0.46405511102502894,-1.2938055583300838,2.0680605487223795,25
2.5,premium,11,0.36712537261357037,-1.7111489517787268,1.777613860548803,25
2.5,premium,12,0.31940740637148646,-1.7588271367003352,2.2432609954976757,25
2.5,premium,13,0.5472155843731811,-1.3770886116746026,2.2426694583969344,25
2.5,premium,14,0.5279560417803245,-1.4891991416950683,2.5923161188795216,25
2.5,premium,15,0.3562172242718936,-1.456920860424641,2.1607164632129203,25
2.5,premium,16,0.2741821463294645,-1.3849061722577738,2.132311247441327,25
2.5,premium,17,0.040210893629513904,-1.3547603232320524,1.7509562550226787,25
2.5,premium,18,-0.003013418733777331,-1.285902716558721,1.6039906812885918,25
2.5,premium,19,0.03219216523123555,-1.2221932150013162,1.2812761923199174,25
2.5,premium,20,-0.14764726845359957,-1.3136874925275361,1.178135625982148,25
