ticker,direction,entry_date,exit_date,entry_zscore,exit_zscore,holding_days,position_size,gross_return_pct,net_return_pct,exit_reason
JNK,short,2024-12-03,2024-12-19,2.364222506757723,-0.0597245439079717,12,1.2695823081719553,2.1072213273145235,2.5483326857439486,zero_cross
AGG,short,2024-12-11,2024-12-27,2.409836098771129,-0.2938790078750283,11,1.0599697227804628,2.0772145111404905,2.095787517251094,zero_cross
TLT,long,2024-12-13,2024-12-23,-2.247753196408587,1.1822872804218771,6,0.998516103405037,-2.939546845285612,-3.0350364720716625,zero_cross
TLT,short,2024-12-24,2025-01-02,2.0678867898129507,-1.7659323008213057,5,0.8630132381823384,0.34141691405543684,0.20834599275096982,zero_cross
AGG,long,2025-01-03,2025-01-24,-2.126486399833588,0.074603278181759,13,1.0052334058823955,0.206594961967288,0.10715281666828132,zero_cross
JNK,short,2025-01-06,2025-01-21,2.090956462863763,-0.4518693201726531,9,0.9287853970255022,-0.6974867950950703,-0.7406940896049702,zero_cross
TLT,long,2025-01-07,2025-02-03,-2.024270747964793,0.7751889705661614,17,1.236973348166369,2.6070827990004375,3.101194604009883,zero_cross
LQD,long,2025-01-15,2025-01-24,-2.4971941478760016,0.2422506488214419,6,0.8518624629551546,0.6010512485645769,0.4268267506689759,zero_cross
JNK,long,2025-03-04,2025-03-20,-2.0514492081422997,0.1545158925338623,12,1.0894126053843605,-0.4258814241315023,-0.5729018523863377,zero_cross
HYG,short,2025-03-07,2025-03-13,2.7067204032266106,-1.4312776546193398,4,1.2973325181752327,1.170547943232314,1.388856659020894,zero_cross
HYG,short,2025-03-27,2025-04-02,2.645816710123644,-0.8653545415760363,4,0.979791596245818,0.11401566316388001,0.013732428983781724,zero_cross
JNK,short,2025-04-01,2025-04-10,2.004806389512149,-0.0860741088884097,7,1.0463739087433974,2.999367054102131,3.0338220372826763,zero_cross
TLT,short,2025-05-02,2025-05-16,3.022812839957754,-0.5773558334673273,10,0.6884672398264361,1.6300014253479045,1.0533558582397846,zero_cross
HYG,long,2025-05-08,2025-05-27,-2.310400349709584,0.4913476864126642,12,0.4259522254773304,1.1847137645551342,0.4620362420181524,zero_cross
TLT,short,2025-05-21,2025-06-06,2.030105800418716,-0.0594797249196776,11,1.0714404735685479,-1.6434407923739958,-1.8679930282199184,zero_cross
LQD,short,2025-06-12,2025-06-16,2.160270974868787,-0.7175795877199661,2,0.8860339212871851,0.7746255518013556,0.5977411230630861,zero_cross
LQD,long,2025-06-18,2025-07-02,-2.574283040728814,0.5445678192085093,9,0.9027223026847205,1.1753786276693212,0.9707682710275843,zero_cross
JNK,short,2025-06-20,2025-06-25,2.171446502230187,-0.1361292561408321,3,1.1331327659972266,-0.4988004892389597,-0.678520454651835,zero_cross
TLT,long,2025-06-25,2025-07-10,-2.1617452950074902,0.1269621507102757,10,1.043402266787436,-0.5942226714283794,-0.7243535090236005,zero_cross
LQD,short,2025-07-08,2025-07-18,2.032503064295956,-0.4382856511087314,8,1.2380250596777924,-0.17576544318984588,-0.34140452926218184,zero_cross
JNK,long,2025-07-15,2025-08-04,-2.2724464057757743,0.1230969664511562,14,1.2497974790021795,0.5092474096374255,0.5114763808530267,zero_cross
TLT,short,2025-07-21,2025-07-29,2.221395402968596,-0.1293837001460298,6,1.355631700002178,-1.5348833660746797,-2.216299716857101,zero_cross
AGG,long,2025-08-06,2025-08-15,-2.481569257420392,0.1850937851477036,7,1.2840631105027607,-0.27214660372744115,-0.4778597255452963,zero_cross
LQD,short,2025-08-13,2025-09-09,2.12607146616022,-0.25047479245574,18,1.6715181535667434,-0.997640534018851,-1.834726078703204,zero_cross
JNK,short,2025-09-19,2025-10-08,2.34076349798909,-0.0133580403759795,13,1.1426952267362451,0.8665496032777109,0.8759325727220025,zero_cross
AGG,short,2025-10-14,2025-10-31,2.650958060473284,-0.6072904989857174,13,1.8955143953184614,0.2381403717766628,0.2618470632773085,zero_cross
HYG,short,2025-10-20,2025-10-29,2.0786816143546374,-0.2451557819338143,7,1.226255816180414,-0.08654759792448008,-0.22875507694937905,zero_cross
TLT,short,2025-10-20,2025-11-10,2.386898391643084,-1.0643409696027222,15,1.648217454707041,2.184598507188784,3.4358716456047946,zero_cross
LQD,long,2025-11-06,2025-11-24,-2.1003907475605827,0.2620782156795452,12,1.3897939299298876,0.38763211393926245,0.3997493660056887,zero_cross
JNK,long,2025-11-24,2025-12-17,-2.2725345901194856,0.1108706911682713,16,1.2028421906193796,0.030913828332490567,-0.08309976207005357,zero_cross
LQD,short,2025-12-04,2025-12-09,2.336555702672928,-0.9363998747383816,3,1.3474956648298078,0.4325523579827184,0.4481128607106434,zero_cross
AGG,long,2025-12-12,2025-12-22,-2.0057218591172434,0.2101342627178171,6,1.3397376236676972,-0.010013532792740865,-0.14738926899503493,zero_cross
LQD,long,2026-01-02,2026-01-15,-2.079990309082473,0.2671762165972705,9,1.5523873721382742,0.6626685759544504,0.8734795920107141,zero_cross
HYG,long,2026-01-12,2026-01-14,-2.454799684324761,0.191965947523546,2,2.0,0.0,-0.2,zero_cross
AGG,long,2026-01-14,2026-01-22,-2.110319942563464,1.8336496080191005,5,1.875186178800581,-0.32885085806930725,-0.8041752018183347,zero_cross
JNK,long,2026-01-22,2026-02-04,-2.153709647279193,0.5975749617806626,9,2.0,-0.8272034045550547,-1.8544068091101096,zero_cross
AGG,short,2026-01-26,2026-02-11,2.316794423138887,-0.4579293434357842,12,1.8842444610951636,0.03989718200185788,-0.11324840190921003,zero_cross
AGG,short,2026-02-25,2026-03-04,2.183663603733152,-0.4337961160394726,5,1.5731832235937933,0.5047527034929944,0.6367501628394118,zero_cross
JNK,short,2026-02-26,2026-03-11,2.207757619170023,-0.7171392831205804,9,2.0,1.4054192648779607,2.610838529755921,zero_cross
AGG,long,2026-03-06,2026-03-16,-2.3544498444902757,0.3739290783931377,6,1.2557603899754937,-0.5193810009945343,-0.777794127352308,zero_cross
TLT,short,2026-03-18,2026-04-02,2.0453062172308307,-0.1994855018354812,11,1.4474041317328534,0.19549007674226626,0.13821273161624345,zero_cross
LQD,long,2026-03-31,2026-04-07,-2.519814486128072,0.6308751863820777,4,0.7942307019705245,0.07340291093014262,-0.021124224722325398,zero_cross
LQD,short,2026-04-14,2026-04-16,2.064854282211113,-0.781771813224543,2,0.8948585513354566,0.5000936851882187,0.35802725552599357,zero_cross
AGG,long,2026-04-16,2026-04-23,-2.2153052570032266,0.0537766369413945,5,0.9689952336697769,-0.03016325661322483,-0.12612757525715093,zero_cross
LQD,short,2026-04-28,2026-05-05,2.080121718548592,-1.151878018449307,5,1.3429143295840484,0.6310543580772099,0.7131605072499436,zero_cross
HYG,long,2026-05-04,2026-06-02,-2.0088732306405963,-1.5683947748257638,20,1.1820114853740369,0.12531136628683992,0.029918325661553974,time_stop
AGG,short,2026-05-05,2026-05-08,2.5694227869457538,-0.0341765375307673,3,1.4493997072317133,-0.4151095231794244,-0.7465995920885251,zero_cross
LQD,long,2026-05-08,2026-05-27,-2.116248222113307,0.7848916146984104,12,1.323209919720808,-0.24724968004751213,-0.4594842212587448,zero_cross
AGG,long,2026-05-20,2026-06-02,-2.2047411123008493,0.6871894182621195,8,1.10237620899283,0.49887788401519195,0.43971348963174894,zero_cross
