ticker,threshold,direction,horizon,n_events,mean_fwd_ret_pct,median_fwd_ret_pct,ci_low_pct,ci_high_pct,t_stat,p_value
LQD,2.0,premium,10,14,0.31656365898444944,0.2729623514488799,-0.6343529980506272,1.2930402687525266,0.6384322605608379,0.534278409779675
LQD,2.0,premium,20,14,0.6450071998013063,-0.3673094179442393,-0.7280438462978701,2.1943177031807495,0.801101510863129,0.4374702869774842
TLT,2.0,premium,1,14,0.011675714041601124,0.2800282173673674,-0.546101471277841,0.43925809385078013,0.045981450036681276,0.9640238811293353
TLT,2.0,premium,3,14,0.23591868294612273,0.0570557378939518,-0.40650843829673916,0.8657391354518059,0.6957717317874593,0.4988221341743213
TLT,2.0,premium,5,14,-0.04702124048129625,-0.12522980891606084,-0.9577015531030989,0.7775389565642143,-0.09966839333283868,0.9221281901487264
TLT,2.0,premium,10,14,0.17527442931200962,-0.28890192630425804,-1.398271842592253,1.7712991847890651,0.20511880040293648,0.8406561606360687
TLT,2.0,premium,20,14,0.10953085765655265,-0.3037743507464885,-1.226316156383051,1.5773595901776707,0.14725576568993526,0.8851894206812585
ALL,2.0,premium,1,73,-0.06554096605328867,-0.05690571320684512,-0.20320064116843345,0.05772057055486883,-1.000352756612936,0.32049001138241934
ALL,2.0,premium,3,73,-0.14091186461348418,-0.1310789105208099,-0.3418660482790022,0.0846216941254626,-1.3080609844982112,0.19501345731114622
ALL,2.0,premium,5,73,-0.2752089950706788,-0.31479857518458276,-0.5882788411941074,0.028222681586733,-1.7849619898490905,0.07847952497459296
ALL,2.0,premium,10,73,-0.23595676637306215,-0.30621038038169957,-0.6907368891139872,0.19018262899476898,-1.0287606170400374,0.30703585088627877
ALL,2.0,premium,20,73,-0.17279455686978637,-0.27335896754366873,-0.6577810020536234,0.3428456077342336,-0.6539880153082201,0.5152029700187883
AGG,2.5,discount,1,6,-0.008990706662916532,0.0814417410173851,-0.2764219955267525,0.22463316420152277,-0.06396494685200149,0.9514766568157288
AGG,2.5,discount,3,6,-0.18036391903002436,-0.05585352438857161,-0.7666063951342801,0.324937561638171,-0.5884739978080926,0.5817909671933187
AGG,2.5,discount,5,6,-0.045545999535338375,0.010019362101898466,-0.601136198798154,0.4128417577084191,-0.16620695340894406,0.8745060395386305
AGG,2.5,discount,10,6,-0.16010942175342752,-0.00011720042285001675,-0.893335155416127,0.5528266629058378,-0.37552460635438545,0.7226743789245553
AGG,2.5,discount,20,6,-0.5082155584757313,-0.3428339652871648,-1.9827683031998198,0.9165226329205415,-0.6328474879464183,0.5546420884440386
HYG,2.5,discount,1,6,-0.24438965543321922,-0.2352335679840889,-0.48687844582058587,-0.013648273449774777,-1.9405350519274003,0.10999543751845231
